program	optimization	track	trial	model	reasoning	response_valid	trace_clean	compile_ok	compile_warnings	run_ok	exit_code	stderr_empty	stdout_exact	stdout_token_similarity	reexecutability	model_wall_seconds	run_path	detail_path
20_combined_stress	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3144	0	242	runs/result-only/x86_64-linux-gnu-11.4.0/O0/20_combined_stress/asm-only/trial-1	O0/20_combined_stress/asm-only/trial-1
01_basic_struct	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1013	0	252	runs/result-only/x86_64-linux-gnu-11.4.0/O1/01_basic_struct/asm-only/trial-1	O1/01_basic_struct/asm-only/trial-1
02_recursive_struct	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2892	0	230	runs/result-only/x86_64-linux-gnu-11.4.0/O1/02_recursive_struct/asm-only/trial-1	O1/02_recursive_struct/asm-only/trial-1
03_flexible_array	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.8438	0	210	runs/result-only/x86_64-linux-gnu-11.4.0/O1/03_flexible_array/asm-only/trial-1	O1/03_flexible_array/asm-only/trial-1
04_tagged_union	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4600	0	241	runs/result-only/x86_64-linux-gnu-11.4.0/O1/04_tagged_union/asm-only/trial-1	O1/04_tagged_union/asm-only/trial-1
05_anon_union	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.6562	0	319	runs/result-only/x86_64-linux-gnu-11.4.0/O1/05_anon_union/asm-only/trial-1	O1/05_anon_union/asm-only/trial-1
06_multidim_array	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.5981	0	303	runs/result-only/x86_64-linux-gnu-11.4.0/O1/06_multidim_array/asm-only/trial-1	O1/06_multidim_array/asm-only/trial-1
07_singly_linked_list	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1360	0	174	runs/result-only/x86_64-linux-gnu-11.4.0/O1/07_singly_linked_list/asm-only/trial-1	O1/07_singly_linked_list/asm-only/trial-1
08_doubly_linked_list	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4301	0	190	runs/result-only/x86_64-linux-gnu-11.4.0/O1/08_doubly_linked_list/asm-only/trial-1	O1/08_doubly_linked_list/asm-only/trial-1
09_binary_tree	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1811	0	195	runs/result-only/x86_64-linux-gnu-11.4.0/O1/09_binary_tree/asm-only/trial-1	O1/09_binary_tree/asm-only/trial-1
10_avl_tree	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1957	0	360	runs/result-only/x86_64-linux-gnu-11.4.0/O1/10_avl_tree/asm-only/trial-1	O1/10_avl_tree/asm-only/trial-1
11_intrusive_list	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7238	0	201	runs/result-only/x86_64-linux-gnu-11.4.0/O1/11_intrusive_list/asm-only/trial-1	O1/11_intrusive_list/asm-only/trial-1
12_bitfields_packed	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.8202	0	297	runs/result-only/x86_64-linux-gnu-11.4.0/O1/12_bitfields_packed/asm-only/trial-1	O1/12_bitfields_packed/asm-only/trial-1
13_vtable_objects	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0909	0	212	runs/result-only/x86_64-linux-gnu-11.4.0/O1/13_vtable_objects/asm-only/trial-1	O1/13_vtable_objects/asm-only/trial-1
14_array_of_structs	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2677	0	501	runs/result-only/x86_64-linux-gnu-11.4.0/O1/14_array_of_structs/asm-only/trial-1	O1/14_array_of_structs/asm-only/trial-1
15_ast_interpreter	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0625	0	254	runs/result-only/x86_64-linux-gnu-11.4.0/O1/15_ast_interpreter/asm-only/trial-1	O1/15_ast_interpreter/asm-only/trial-1
16_hash_table	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2750	0	286	runs/result-only/x86_64-linux-gnu-11.4.0/O1/16_hash_table/asm-only/trial-1	O1/16_hash_table/asm-only/trial-1
17_graph	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1993	0	256	runs/result-only/x86_64-linux-gnu-11.4.0/O1/17_graph/asm-only/trial-1	O1/17_graph/asm-only/trial-1
18_opaque_generic	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.5224	0	268	runs/result-only/x86_64-linux-gnu-11.4.0/O1/18_opaque_generic/asm-only/trial-1	O1/18_opaque_generic/asm-only/trial-1
19_state_machine	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2842	0	301	runs/result-only/x86_64-linux-gnu-11.4.0/O1/19_state_machine/asm-only/trial-1	O1/19_state_machine/asm-only/trial-1
20_combined_stress	O1	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2376	0	202	runs/result-only/x86_64-linux-gnu-11.4.0/O1/20_combined_stress/asm-only/trial-1	O1/20_combined_stress/asm-only/trial-1
01_basic_struct	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1625	0	173	runs/result-only/x86_64-linux-gnu-11.4.0/O2/01_basic_struct/asm-only/trial-1	O2/01_basic_struct/asm-only/trial-1
02_recursive_struct	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2892	0	292	runs/result-only/x86_64-linux-gnu-11.4.0/O2/02_recursive_struct/asm-only/trial-1	O2/02_recursive_struct/asm-only/trial-1
03_flexible_array	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4688	0	148	runs/result-only/x86_64-linux-gnu-11.4.0/O2/03_flexible_array/asm-only/trial-1	O2/03_flexible_array/asm-only/trial-1
04_tagged_union	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3725	0	256	runs/result-only/x86_64-linux-gnu-11.4.0/O2/04_tagged_union/asm-only/trial-1	O2/04_tagged_union/asm-only/trial-1
05_anon_union	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3220	0	346	runs/result-only/x86_64-linux-gnu-11.4.0/O2/05_anon_union/asm-only/trial-1	O2/05_anon_union/asm-only/trial-1
06_multidim_array	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7196	0	224	runs/result-only/x86_64-linux-gnu-11.4.0/O2/06_multidim_array/asm-only/trial-1	O2/06_multidim_array/asm-only/trial-1
07_singly_linked_list	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1360	0	313	runs/result-only/x86_64-linux-gnu-11.4.0/O2/07_singly_linked_list/asm-only/trial-1	O2/07_singly_linked_list/asm-only/trial-1
08_doubly_linked_list	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2833	0	279	runs/result-only/x86_64-linux-gnu-11.4.0/O2/08_doubly_linked_list/asm-only/trial-1	O2/08_doubly_linked_list/asm-only/trial-1
09_binary_tree	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3585	0	186	runs/result-only/x86_64-linux-gnu-11.4.0/O2/09_binary_tree/asm-only/trial-1	O2/09_binary_tree/asm-only/trial-1
10_avl_tree	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1793	0	237	runs/result-only/x86_64-linux-gnu-11.4.0/O2/10_avl_tree/asm-only/trial-1	O2/10_avl_tree/asm-only/trial-1
11_intrusive_list	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7812	0	244	runs/result-only/x86_64-linux-gnu-11.4.0/O2/11_intrusive_list/asm-only/trial-1	O2/11_intrusive_list/asm-only/trial-1
12_bitfields_packed	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.9080	0	249	runs/result-only/x86_64-linux-gnu-11.4.0/O2/12_bitfields_packed/asm-only/trial-1	O2/12_bitfields_packed/asm-only/trial-1
13_vtable_objects	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1176	0	192	runs/result-only/x86_64-linux-gnu-11.4.0/O2/13_vtable_objects/asm-only/trial-1	O2/13_vtable_objects/asm-only/trial-1
14_array_of_structs	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0818	0	360	runs/result-only/x86_64-linux-gnu-11.4.0/O2/14_array_of_structs/asm-only/trial-1	O2/14_array_of_structs/asm-only/trial-1
15_ast_interpreter	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1250	0	573	runs/result-only/x86_64-linux-gnu-11.4.0/O2/15_ast_interpreter/asm-only/trial-1	O2/15_ast_interpreter/asm-only/trial-1
16_hash_table	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1377	0	358	runs/result-only/x86_64-linux-gnu-11.4.0/O2/16_hash_table/asm-only/trial-1	O2/16_hash_table/asm-only/trial-1
17_graph	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2172	0	237	runs/result-only/x86_64-linux-gnu-11.4.0/O2/17_graph/asm-only/trial-1	O2/17_graph/asm-only/trial-1
18_opaque_generic	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.8841	0	337	runs/result-only/x86_64-linux-gnu-11.4.0/O2/18_opaque_generic/asm-only/trial-1	O2/18_opaque_generic/asm-only/trial-1
19_state_machine	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2211	0	360	runs/result-only/x86_64-linux-gnu-11.4.0/O2/19_state_machine/asm-only/trial-1	O2/19_state_machine/asm-only/trial-1
20_combined_stress	O2	asm-only	trial-1	gpt-5.6-sol	high	1	1	0	1	0	not-run	0	0	0.0000	0	373	runs/result-only/x86_64-linux-gnu-11.4.0/O2/20_combined_stress/asm-only/trial-1	O2/20_combined_stress/asm-only/trial-1
01_basic_struct	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4430	0	245	runs/result-only/x86_64-linux-gnu-11.4.0/O3/01_basic_struct/asm-only/trial-1	O3/01_basic_struct/asm-only/trial-1
02_recursive_struct	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2892	0	252	runs/result-only/x86_64-linux-gnu-11.4.0/O3/02_recursive_struct/asm-only/trial-1	O3/02_recursive_struct/asm-only/trial-1
03_flexible_array	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7273	0	158	runs/result-only/x86_64-linux-gnu-11.4.0/O3/03_flexible_array/asm-only/trial-1	O3/03_flexible_array/asm-only/trial-1
04_tagged_union	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2400	0	276	runs/result-only/x86_64-linux-gnu-11.4.0/O3/04_tagged_union/asm-only/trial-1	O3/04_tagged_union/asm-only/trial-1
05_anon_union	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4478	0	211	runs/result-only/x86_64-linux-gnu-11.4.0/O3/05_anon_union/asm-only/trial-1	O3/05_anon_union/asm-only/trial-1
06_multidim_array	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0187	0	660	runs/result-only/x86_64-linux-gnu-11.4.0/O3/06_multidim_array/asm-only/trial-1	O3/06_multidim_array/asm-only/trial-1
07_singly_linked_list	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0820	0	172	runs/result-only/x86_64-linux-gnu-11.4.0/O3/07_singly_linked_list/asm-only/trial-1	O3/07_singly_linked_list/asm-only/trial-1
08_doubly_linked_list	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3011	0	223	runs/result-only/x86_64-linux-gnu-11.4.0/O3/08_doubly_linked_list/asm-only/trial-1	O3/08_doubly_linked_list/asm-only/trial-1
09_binary_tree	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1811	0	212	runs/result-only/x86_64-linux-gnu-11.4.0/O3/09_binary_tree/asm-only/trial-1	O3/09_binary_tree/asm-only/trial-1
10_avl_tree	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0978	0	264	runs/result-only/x86_64-linux-gnu-11.4.0/O3/10_avl_tree/asm-only/trial-1	O3/10_avl_tree/asm-only/trial-1
11_intrusive_list	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3226	0	357	runs/result-only/x86_64-linux-gnu-11.4.0/O3/11_intrusive_list/asm-only/trial-1	O3/11_intrusive_list/asm-only/trial-1
12_bitfields_packed	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.8161	0	222	runs/result-only/x86_64-linux-gnu-11.4.0/O3/12_bitfields_packed/asm-only/trial-1	O3/12_bitfields_packed/asm-only/trial-1
13_vtable_objects	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1515	0	298	runs/result-only/x86_64-linux-gnu-11.4.0/O3/13_vtable_objects/asm-only/trial-1	O3/13_vtable_objects/asm-only/trial-1
14_array_of_structs	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2193	0	632	runs/result-only/x86_64-linux-gnu-11.4.0/O3/14_array_of_structs/asm-only/trial-1	O3/14_array_of_structs/asm-only/trial-1
15_ast_interpreter	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1875	0	278	runs/result-only/x86_64-linux-gnu-11.4.0/O3/15_ast_interpreter/asm-only/trial-1	O3/15_ast_interpreter/asm-only/trial-1
16_hash_table	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2029	0	300	runs/result-only/x86_64-linux-gnu-11.4.0/O3/16_hash_table/asm-only/trial-1	O3/16_hash_table/asm-only/trial-1
17_graph	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3909	0	457	runs/result-only/x86_64-linux-gnu-11.4.0/O3/17_graph/asm-only/trial-1	O3/17_graph/asm-only/trial-1
18_opaque_generic	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7714	0	322	runs/result-only/x86_64-linux-gnu-11.4.0/O3/18_opaque_generic/asm-only/trial-1	O3/18_opaque_generic/asm-only/trial-1
19_state_machine	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	0	43	0	not-run	0	0	0.0000	0	308	runs/result-only/x86_64-linux-gnu-11.4.0/O3/19_state_machine/asm-only/trial-1	O3/19_state_machine/asm-only/trial-1
20_combined_stress	O3	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.6691	0	272	runs/result-only/x86_64-linux-gnu-11.4.0/O3/20_combined_stress/asm-only/trial-1	O3/20_combined_stress/asm-only/trial-1
